App_Name,App_Url,App_Docid
Command & Conquer: Rivals PVP	,https://play.google.com/store/apps/details?id=com.ea.gp.candcwarzones	,com.ea.gp.candcwarzones
Merge Dragons!	,https://play.google.com/store/apps/details?id=com.gramgames.mergedragons	,com.gramgames.mergedragons
Hearthstone	,https://play.google.com/store/apps/details?id=com.blizzard.wtcg.hearthstone	,com.blizzard.wtcg.hearthstone
Clash Royale	,https://play.google.com/store/apps/details?id=com.supercell.clashroyale	,com.supercell.clashroyale
Love Nikki-Dress UP Queen	,https://play.google.com/store/apps/details?id=com.elex.nikkigp	,com.elex.nikkigp
Huuuge Casino - Slot Machines & Free Vegas Games	,https://play.google.com/store/apps/details?id=com.huuuge.casino.slots	,com.huuuge.casino.slots
Cut the Rope FULL FREE	,https://play.google.com/store/apps/details?id=com.zeptolab.ctr.ads	,com.zeptolab.ctr.ads
Cooking Fever	,https://play.google.com/store/apps/details?id=com.nordcurrent.canteenhd	,com.nordcurrent.canteenhd
My Diggy Dog	,https://play.google.com/store/apps/details?id=ru.kingbird.doggame	,ru.kingbird.doggame
Shop Heroes: Adventure Quest	,https://play.google.com/store/apps/details?id=com.cloudcade.shopheroes	,com.cloudcade.shopheroes
Facebook	,https://play.google.com/store/apps/details?id=com.facebook.katana	,com.facebook.katana
Messenger â€“ Text and Video Chat for Free	,https://play.google.com/store/apps/details?id=com.facebook.orca	,com.facebook.orca
Instagram	,https://play.google.com/store/apps/details?id=com.instagram.android	,com.instagram.android
YouTube	,https://play.google.com/store/apps/details?id=com.google.android.youtube	,com.google.android.youtube
WhatsApp Messenger	,https://play.google.com/store/apps/details?id=com.whatsapp	,com.whatsapp
Netflix	,https://play.google.com/store/apps/details?id=com.netflix.mediaclient	,com.netflix.mediaclient
Google Chrome: Fast & Secure	,https://play.google.com/store/apps/details?id=com.android.chrome	,com.android.chrome
Facebook Lite	,https://play.google.com/store/apps/details?id=com.facebook.lite	,com.facebook.lite
Twitter	,https://play.google.com/store/apps/details?id=com.twitter.android	,com.twitter.android
Google	,https://play.google.com/store/apps/details?id=com.google.android.googlequicksearchbox	,com.google.android.googlequicksearchbox
Snapchat	,https://play.google.com/store/apps/details?id=com.snapchat.android	,com.snapchat.android
Subway Surfers	,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf	,com.kiloo.subwaysurf
Netflix	,https://play.google.com/store/apps/details?id=com.netflix.mediaclient	,com.netflix.mediaclient
My Talking Tom 2	,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtom2	,com.outfit7.mytalkingtom2
Helix Jump	,https://play.google.com/store/apps/details?id=com.h8games.helixjump	,com.h8games.helixjump
WhatsApp Messenger	,https://play.google.com/store/apps/details?id=com.whatsapp	,com.whatsapp
Magic Tiles 3	,https://play.google.com/store/apps/details?id=com.youmusic.magictiles	,com.youmusic.magictiles
ROBLOX	,https://play.google.com/store/apps/details?id=com.roblox.client	,com.roblox.client
slither.io	,https://play.google.com/store/apps/details?id=air.com.hypah.io.slither	,air.com.hypah.io.slither
Pandora Music	,https://play.google.com/store/apps/details?id=com.pandora.android	,com.pandora.android
Helix Jump	,https://play.google.com/store/apps/details?id=com.h8games.helixjump	,com.h8games.helixjump
Bowmasters	,https://play.google.com/store/apps/details?id=com.miniclip.bowmasters	,com.miniclip.bowmasters
Granny	,https://play.google.com/store/apps/details?id=com.dvloper.granny	,com.dvloper.granny
ROBLOX	,https://play.google.com/store/apps/details?id=com.roblox.client	,com.roblox.client
Pou	,https://play.google.com/store/apps/details?id=me.pou.app	,me.pou.app
Magic Tiles 3	,https://play.google.com/store/apps/details?id=com.youmusic.magictiles	,com.youmusic.magictiles
My Talking Angela	,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingangelafree	,com.outfit7.mytalkingangelafree
Talking Tom Gold Run	,https://play.google.com/store/apps/details?id=com.outfit7.talkingtomgoldrun	,com.outfit7.talkingtomgoldrun
Block Craft 3D: Building Simulator Games For Free	,https://play.google.com/store/apps/details?id=com.fungames.blockcraft	,com.fungames.blockcraft
slither.io	,https://play.google.com/store/apps/details?id=air.com.hypah.io.slither	,air.com.hypah.io.slither
slither.io	,https://play.google.com/store/apps/details?id=air.com.hypah.io.slither	,air.com.hypah.io.slither
Pou	,https://play.google.com/store/apps/details?id=me.pou.app	,me.pou.app
Flow Free	,https://play.google.com/store/apps/details?id=com.bigduckgames.flow	,com.bigduckgames.flow
My Talking Angela	,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingangelafree	,com.outfit7.mytalkingangelafree
Minecraft	,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe	,com.mojang.minecraftpe
Glow Hockey	,https://play.google.com/store/apps/details?id=com.natenai.glowhockey	,com.natenai.glowhockey
Roll the BallÂ® - slide puzzle	,https://play.google.com/store/apps/details?id=com.bitmango.rolltheballunrollme	,com.bitmango.rolltheballunrollme
Bingo - Free Bingo Games	,https://play.google.com/store/apps/details?id=com.absolute.bingo	,com.absolute.bingo
Kids Doodle - Color & Draw	,https://play.google.com/store/apps/details?id=com.doodlejoy.studio.kidsdoojoy	,com.doodlejoy.studio.kidsdoojoy
Subway Surfers	,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf	,com.kiloo.subwaysurf
"iHeartRadio - Free Music, Radio & Podcasts	",https://play.google.com/store/apps/details?id=com.clearchannel.iheartradio.controller	,com.clearchannel.iheartradio.controller
OfferUp - Buy. Sell. Offer Up	,https://play.google.com/store/apps/details?id=com.offerup	,com.offerup
Wattpad  ðŸ“–  Stories you'll love	,https://play.google.com/store/apps/details?id=wp.wattpad	,wp.wattpad
Duolingo: Learn Languages Free	,https://play.google.com/store/apps/details?id=com.duolingo	,com.duolingo
"theScore: Live Sports Scores, News, Stats & Videos	",https://play.google.com/store/apps/details?id=com.fivemobile.thescore	,com.fivemobile.thescore
"Bleacher Report: sports news, scores, & highlights	",https://play.google.com/store/apps/details?id=com.bleacherreport.android.teamstream	,com.bleacherreport.android.teamstream
News Republic - Breaking and Trending News	,https://play.google.com/store/apps/details?id=com.mobilesrepublic.appy	,com.mobilesrepublic.appy
GasBuddy - Find Free & Cheap Gas	,https://play.google.com/store/apps/details?id=gbis.gbandroid	,gbis.gbandroid
Transit: Real-Time Transit App	,https://play.google.com/store/apps/details?id=com.thetransitapp.droid	,com.thetransitapp.droid
"Imgur: Find funny GIFs, memes & watch viral videos	",https://play.google.com/store/apps/details?id=com.imgur.mobile	,com.imgur.mobile
ZEDGEâ„¢ Ringtones & Wallpapers	,https://play.google.com/store/apps/details?id=net.zedge.android	,net.zedge.android
Colorfy: Coloring Book for Adults - Free	,https://play.google.com/store/apps/details?id=com.fungamesforfree.colorfy	,com.fungamesforfree.colorfy
"DU Recorder â€“ Screen Recorder, Video Editor, Live	",https://play.google.com/store/apps/details?id=com.duapps.recorder	,com.duapps.recorder
Paint by Number: Free Coloring Book	,https://play.google.com/store/apps/details?id=com.tfgco.games.coloring.free.paint.by.number	,com.tfgco.games.coloring.free.paint.by.number
AP News	,https://play.google.com/store/apps/details?id=mnn.Android	,mnn.Android
"Chat Rooms, Virtual World - Galaxy	",https://play.google.com/store/apps/details?id=ru.mobstudio.andgalaxy	,ru.mobstudio.andgalaxy
"Deezer Music Player: Songs, Radio & Podcasts	",https://play.google.com/store/apps/details?id=deezer.android.app	,deezer.android.app
Podcast App: Free & Offline Podcasts by Player FM	,https://play.google.com/store/apps/details?id=fm.player	,fm.player
Poshmark - Buy & Sell Fashion	,https://play.google.com/store/apps/details?id=com.poshmark.app	,com.poshmark.app
"AliExpress - Smarter Shopping, Better Living	",https://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd	,com.alibaba.aliexpresshd
Mute Camera Pro	,https://play.google.com/store/apps/details?id=jp.snowlife01.android.mutecamera	,jp.snowlife01.android.mutecamera
Marine Pro Watch Face For WatchMaker Users	,https://play.google.com/store/apps/details?id=fs.wmwatch.marinepro	,fs.wmwatch.marinepro
Notification Icons Watch Face Theme Status Bubbles	,https://play.google.com/store/apps/details?id=dynalogix.bubblecloud.themepack11	,dynalogix.bubblecloud.themepack11
Intruder Catcher: Lock Screen and App protection	,https://play.google.com/store/apps/details?id=com.augustro.intrudercatcher	,com.augustro.intrudercatcher
Christmas Snowfall Live Wallpaper	,https://play.google.com/store/apps/details?id=ru.bastion7.snowwallpapers.pro	,ru.bastion7.snowwallpapers.pro
Fella for Facebook	,https://play.google.com/store/apps/details?id=fellasocial.app	,fellasocial.app
Learn Mandarin - HSK 5 Hero	,https://play.google.com/store/apps/details?id=com.handtechnics.hsk5heropro	,com.handtechnics.hsk5heropro
Mind Melody Pro: stay focus & higher productivity	,https://play.google.com/store/apps/details?id=com.awesomedroid.mindmelody	,com.awesomedroid.mindmelody
Radio components calculator++	,https://play.google.com/store/apps/details?id=ru.antifreezzzee.radioprofilernd.electronicappsplus	,ru.antifreezzzee.radioprofilernd.electronicappsplus
Popcircle Icon Pack	,https://play.google.com/store/apps/details?id=com.adrienmaciel.popcircle	,com.adrienmaciel.popcircle
WhatsApp Messenger	,https://play.google.com/store/apps/details?id=com.whatsapp	,com.whatsapp
Google Chrome: Fast & Secure	,https://play.google.com/store/apps/details?id=com.android.chrome	,com.android.chrome
Gmail	,https://play.google.com/store/apps/details?id=com.google.android.gm	,com.google.android.gm
Messenger Lite: Free Calls & Messages	,https://play.google.com/store/apps/details?id=com.facebook.mlite	,com.facebook.mlite
Opera Mini - fast web browser	,https://play.google.com/store/apps/details?id=com.opera.mini.native	,com.opera.mini.native
Messages	,https://play.google.com/store/apps/details?id=com.google.android.apps.messaging	,com.google.android.apps.messaging
Contacts	,https://play.google.com/store/apps/details?id=com.google.android.contacts	,com.google.android.contacts
Samsung Internet Browser	,https://play.google.com/store/apps/details?id=com.sec.android.app.sbrowser	,com.sec.android.app.sbrowser
"Phoenix Browser -Video Download, Data Saving, Fast	",https://play.google.com/store/apps/details?id=com.transsion.phoenix	,com.transsion.phoenix
Gmail Go	,https://play.google.com/store/apps/details?id=com.google.android.gm.lite	,com.google.android.gm.lite
